URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCES,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUN,AVG WORD LENGTH
https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,44.0,5.0,0.7959183511037071,0.039805036523310286,22.45762711864407,0.18716981132075472,9.05791877198593,22.45762711864407,248.0,1325.0,1.5622641509433963,70.0,4.3388679245283015
https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,66.0,29.0,0.38947368011080336,0.06397306392998446,25.890625,0.27338563669281835,10.465604254677128,25.890625,453.0,1657.0,1.8201569100784551,33.0,4.968617984308993
https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,40.0,24.0,0.24999999609375007,0.06015037588331731,25.847826086956523,0.343986543313709,10.476725052108094,25.847826086956523,409.0,1189.0,2.035323801513877,14.0,5.625735912531539
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,39.0,71.0,-0.2909090882644628,0.10270774967067436,31.36842105263158,0.32046979865771813,12.675556340515719,31.36842105263158,382.0,1192.0,1.938758389261745,12.0,5.421979865771812
https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,22.0,8.0,0.4666666511111116,0.044182621437139,27.333333333333332,0.27100271002710025,11.041734417344173,27.333333333333332,200.0,738.0,1.8509485094850948,10.0,5.245257452574526
https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,88.0,27.0,0.5304347779962193,0.06226312936531503,33.131147540983605,0.32459178624443347,13.382295730891215,33.131147540983605,656.0,2021.0,1.9920831271647699,11.0,5.553686293913904
https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,31.0,60.0,-0.31868131517932624,0.07070707065213125,27.92156862745098,0.2612359550561798,11.273121833002865,27.92156862745098,372.0,1424.0,1.7900280898876404,24.0,4.990870786516854
https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,32.0,9.0,0.560975596073766,0.05196451197469644,19.555555555555557,0.3534090909090909,7.9635858585858585,19.555555555555557,311.0,880.0,2.021590909090909,22.0,5.617045454545455
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,41.0,47.0,-0.06818181740702481,0.0935175344383448,28.0,0.36654135338345867,11.346616541353384,28.0,390.0,1064.0,2.0714285714285716,17.0,5.768796992481203
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,137.0,161.0,-0.08053691248141975,0.08177826561970959,25.844155844155843,0.27035175879396983,10.445803041179927,25.844155844155843,1076.0,3980.0,1.8462311557788944,55.0,5.098492462311558
